COUNTY,ANHYDROUS AMMONIA,AQUA AMMONIA,AMMONIUM NITRATE,NITRATE SOLUTION,AMMONIUM POLYSULFIDE,AMMONIUM SULFATE,AMMONIUM THIOSULFATE,BLOOD MEAL,AMMONIUM NITRATE,CALCIUM NITRATE,SOLUTION 28%,SOLUTION 32%,SODIUM NITRATE,COATED UREA,UREA,UREA SOLUTION,MATERIALS - ALL OTHER,DIAMMONIUM PHOSPHATE,PHOSPHATE SULFATE,MONOAMMONIUM PHOSPHATE,PHOSPHORIC ACID,AMMONIUM POLYPHOSPHATE,NORMAL SUPERPHOSPHATE,TRIPLE SUPERPHOSPHATE,ALL OTHER,OF POTASH,POTASH MAGNESIA,POTASSIUM NITRATE,POTASSIUM SULFATE,MATERIALS - ALL OTHER
ALAMEDA,"
0","
0","
0","
0",0,54,"
8","
0","
7","
0","
0","
290","
0","
0","
56","
0","
392","
0","
0","
0","
0","
33","
0","
2","
29","
0","
0","
0","
0","
53"
ALPINE,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0
AMADOR,0,0,0,0,0,29,12,0,1,0,0,3,0,0,1,0,18,0,0,0,0,0,0,0,23,0,0,1,48,25
BUTTE,0,"33,636",0,46,0,"13,399","1,151",0,"1,380",171,0,"9,606",0,0,848,0,"1,340",0,"1,032","2,941",2,"3,104",0,0,837,"3,951","1,913",228,"4,662","1,854"
CALAVERAS,0,0,0,0,0,25,14,0,21,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,4,27,0,0,117,35
COLUSA,480,"42,424",0,0,0,"3,532","1,362",0,"8,484",6,49,"10,698",1,0,"2,724",0,"3,555",55,"3,127",592,75,"3,972",0,26,"1,760",36,308,141,394,"2,117"
CONTRA COSTA,6,111,16,0,0,92,277,0,550,64,0,"1,874",0,0,223,1,384,0,35,27,0,212,0,0,244,159,0,33,20,209
DEL NORTE,0,107,0,0,0,0,0,0,0,79,0,0,0,0,0,20,4,0,64,0,65,0,0,0,7,0,0,0,0,1
EL DORADO,0,14,0,0,0,14,0,0,11,12,0,3,0,0,1,0,20,0,1,0,0,25,0,0,23,0,0,0,6,24
FRESNO,193,824,0,74,125,"1,531","13,794",122,"18,217","1,714",437,"45,816",77,25,"3,071",471,"21,380",21,184,938,"1,134","1,595",0,0,"8,090",833,256,"1,113","2,453","13,831"
GLENN,0,"20,324",0,0,0,"4,208",45,0,"1,235",32,0,"5,372",0,0,315,0,"1,386",0,766,877,0,70,0,0,"1,330","1,580",0,108,623,"2,206"
HUMBOLDT,0,0,0,0,0,6,0,0,0,69,0,2,0,0,0,0,758,0,33,0,0,1,0,0,474,0,4,0,0,498
IMPERIAL,0,3,0,"4,620",0,"1,773",21,0,"1,143",122,526,"19,052",111,0,"17,523",35,"12,559",0,2,"2,159","1,307","1,222",0,0,"5,000",44,51,117,796,"1,566"
INYO,0,0,0,0,0,2,0,0,17,4,0,81,0,0,39,0,71,0,0,17,0,0,0,0,6,0,0,11,10,12
KERN,630,0,5,40,32,634,"7,836",0,"9,739",530,3,"64,112",583,0,"2,117",56,"24,969",15,315,"1,112",354,"4,991",0,0,"6,448","1,982","1,041",601,"10,092","14,955"
KINGS,610,5,0,0,0,248,"1,863",0,"1,534","1,114",0,"15,580",0,0,"1,689",4,"4,961",39,0,177,909,"1,746",0,0,811,144,0,93,"2,707","1,683"
LAKE,0,0,0,0,0,71,0,0,240,17,0,201,0,0,46,0,63,0,72,2,0,214,0,7,6,0,0,0,28,43
LASSEN,0,0,0,0,0,822,0,0,11,38,0,13,0,0,507,0,44,0,103,86,0,0,0,0,4,189,0,0,20,161
LOS ANGELES,4,0,0,733,0,187,69,0,0,76,0,225,0,0,973,75,"2,895",0,2,118,0,39,0,0,212,0,4,525,22,185
MADERA,27,145,0,"1,251",0,124,"7,780",0,"6,535",444,22,"14,747",4,0,472,387,"6,122",0,0,16,87,739,0,0,968,130,0,148,494,"3,407"
MARIN,0,0,0,0,0,4,4,0,0,0,0,6,0,0,0,0,34,0,0,0,0,0,0,0,41,0,0,0,0,0
MARIPOSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
MENDOCINO,0,0,0,0,0,1,0,0,67,56,0,22,0,0,12,0,295,0,0,3,0,68,0,0,194,0,16,0,63,216
MERCED,16,67,0,270,0,"1,280","3,884",0,"9,664",329,11,"15,217",0,0,"1,128",6,"15,230",0,31,476,18,735,0,0,"7,007",690,2,263,"1,425","11,038"
MODOC,2,0,0,0,0,"1,040",163,0,3,0,0,277,0,0,"2,917",0,7,0,"1,957",439,0,339,0,0,0,176,0,0,542,22
MONO,0,0,0,0,0,63,0,0,0,0,0,0,0,0,32,0,7,0,0,259,0,0,0,0,0,21,0,0,0,801
MONTEREY,0,0,11,"11,853",0,"1,108","2,081",19,"6,062",736,28,"5,778",193,0,"1,772",368,"37,802",0,174,240,524,193,0,0,"5,699",514,7,619,"1,368","4,330"
NAPA,0,0,0,0,0,2,0,0,34,163,0,2,0,0,8,0,173,0,8,25,0,4,0,8,104,0,0,9,67,199
NEVADA,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,24,0,0,3,0,0,0,0,7,0,0,0,1,5
ORANGE,0,0,0,77,0,185,54,0,290,244,0,99,28,0,322,2,"2,434",0,22,12,0,0,0,15,430,0,15,193,49,324
PLACER,0,"1,902",197,0,0,151,125,0,1,0,0,53,0,0,27,0,779,0,46,89,0,0,0,0,91,87,0,0,83,49
PLUMAS,0,0,0,0,0,0,0,0,0,0,0,6,0,0,14,0,48,0,0,103,0,0,0,0,0,52,0,0,0,1
RIVERSIDE,263,0,0,"2,053",0,652,39,2,"3,447",817,0,"6,089",71,0,688,1,"4,157",0,8,"1,077",779,"1,436",0,6,614,483,68,320,499,574
SACRAMENTO,507,902,0,9,0,262,52,0,338,965,0,"2,478",0,0,"1,111",0,"1,271",0,211,53,88,9,0,0,478,19,0,29,484,"1,062"
SAN BENITO,0,0,0,9,0,69,5,0,802,1,0,85,1,0,12,0,"3,568",0,0,20,0,3,0,0,245,0,1,1,15,219
SAN BERNARDI,0,0,0,0,0,73,0,0,13,245,0,219,0,0,251,0,"1,032",0,12,13,0,3,0,4,58,0,0,8,1,28
SAN DIEGO,0,0,89,41,0,170,0,0,416,"1,258",73,98,0,2,340,0,"5,337",0,34,0,22,0,0,29,288,7,212,331,"1,379",192
SAN FRANCISC,0,316,0,0,0,0,0,0,0,0,0,0,0,0,14,0,21,0,116,1,0,0,0,0,1,0,0,0,1,1
SAN JOAQUIN,50,51,169,37,0,"2,167","1,759",0,"9,368","1,209",23,"17,794",0,0,"3,374",18,"5,386",0,55,59,14,"2,804",0,3,"5,380",734,140,153,"2,274","6,205"
SAN LUIS OBISP,0,0,424,384,0,222,183,0,354,84,2,828,7,8,67,28,784,0,63,3,4,0,0,0,387,10,0,185,262,606
SAN MATEO,0,90,13,0,0,5,3,0,2,311,0,24,0,1,92,0,661,0,32,0,0,0,0,1,265,64,0,29,163,105
SANTA BARBAR,0,0,"1,124","1,853",0,246,459,0,564,866,27,"5,969",0,0,194,"1,216","9,740",0,0,110,92,0,0,0,"2,889",419,8,328,493,"2,336"
SANTA CLARA,0,0,0,0,0,38,7,0,292,24,22,375,12,0,129,0,"1,817",0,9,1,0,12,1,4,291,0,0,6,21,396
SANTA CRUZ,0,0,6,1,0,31,0,10,364,297,0,58,0,0,73,0,"12,204",0,0,22,1,0,0,1,362,1,37,44,138,176
SHASTA,383,136,0,28,0,"2,350",8,0,11,39,0,446,0,0,"2,717",0,804,0,348,657,38,9,0,0,76,"1,264",0,10,24,66
SIERRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SISKIYOU,14,0,1,0,0,"1,865",301,0,404,82,0,534,0,48,"2,305",0,222,0,757,689,22,277,0,0,382,"1,727",0,2,563,114
SOLANO,552,108,0,0,0,"1,684",2,0,640,10,0,"2,909",224,0,"1,819",0,779,0,"1,233","3,092",27,511,"2,851",0,285,0,0,59,43,353
SONOMA,0,65,9,101,0,44,0,15,72,375,0,31,0,0,30,0,724,0,40,11,0,126,0,8,428,0,2,60,165,362
STANISLAUS,388,0,0,360,0,"4,128","1,210",0,"20,260",328,52,"25,055",1,0,"1,586",3,"7,475",0,45,603,0,883,0,0,"3,845","1,575",380,466,"3,847","7,975"
SUTTER,0,"27,821",0,515,0,"5,575",565,0,"1,415",533,320,"5,658",15,0,"3,034",0,970,0,"1,865",626,0,603,0,0,"1,113",809,47,322,"2,224",490
TEHAMA,0,241,0,0,0,"2,191",6,0,424,110,0,"1,791",0,1,103,0,147,0,161,965,0,32,0,0,107,0,0,50,319,141
TRINITY,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TULARE,999,0,0,0,129,"2,473","2,699",0,"4,570","1,505",120,"20,566",0,222,"2,195",161,"13,221",0,0,329,611,716,0,1,"3,897",782,333,484,"1,607","3,447"
TUOLUMNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VENTURA,0,0,1,"1,112",0,168,163,0,"1,630",661,0,"1,580",28,0,375,19,"3,474",0,226,152,196,318,0,10,"1,682",122,31,222,694,"1,020"
YOLO,186,"9,496",0,0,0,"3,891",700,0,"3,551",33,0,"9,982",1,0,897,0,"3,773",0,52,74,0,"2,448",0,0,"1,406",50,0,20,382,"2,513"
YUBA,0,"4,939",0,569,0,746,120,0,160,100,76,652,1,0,564,0,337,0,197,31,0,350,0,0,115,429,0,47,66,69
** UNKNOWN **,0,794,0,60,0,"1,069",10,0,158,59,0,169,0,0,179,0,962,0,81,610,0,"2,397",0,0,760,0,0,21,1,874
TOTAL,"5,310","144,521","2,065","26,096",286,"60,716","48,834",168,"114,506","15,932","1,791","312,531","1,358",307,"58,988","2,871","216,628",130,"13,539","19,912","6,369","32,239","2,852",125,"65,203","19,116","4,876","7,400","41,755","89,174"
